param_name,param_value,test_acc,test_loss,sparsity,nnz
R (L1 radius),1.0,0.9736842105263158,0.44637821781777787,0.3870967741935484,19
R (L1 radius),2.0,0.956140350877193,0.3161943829395773,0.3548387096774194,20
R (L1 radius),5.0,0.9736842105263158,0.1802171230739163,0.1935483870967742,25
R (L1 radius),10.0,0.9385964912280702,0.19427115683810595,0.16129032258064516,26
R (L1 radius),20.0,0.8421052631578947,0.46186673220530444,0.16129032258064516,26
beta (EMA),0.7,0.9824561403508771,0.18010232734481077,0.3225806451612903,21
beta (EMA),0.8,0.9473684210526315,0.19083648858608723,0.22580645161290322,24
beta (EMA),0.9,0.9649122807017544,0.1745464886360636,0.2903225806451613,22
beta (EMA),0.95,0.9736842105263158,0.21621224716197526,0.22580645161290322,24
beta (EMA),0.99,0.956140350877193,0.17977807315180783,0.22580645161290322,24
alpha (scale),0.1,0.9385964912280702,0.21427606745851574,0.22580645161290322,24
alpha (scale),0.3,0.9649122807017544,0.1633020138076837,0.1935483870967742,25
alpha (scale),0.5,0.9385964912280702,0.2124001776979579,0.22580645161290322,24
alpha (scale),1.0,0.9210526315789473,0.24898438028058242,0.16129032258064516,26
alpha (scale),2.0,0.9298245614035088,0.17468993966960733,0.1935483870967742,25
gamma_max,0.05,0.956140350877193,0.19815498607050555,0.0967741935483871,28
gamma_max,0.1,0.9122807017543859,0.2179241735402253,0.22580645161290322,24
gamma_max,0.2,0.9298245614035088,0.18112507830472194,0.3225806451612903,21
gamma_max,0.3,0.8333333333333334,0.33061095431198406,0.2903225806451613,22
gamma_max,0.5,0.7368421052631579,0.5962504584636672,0.5161290322580645,15
