param_name,param_value,test_acc,test_loss,sparsity,nnz
R (L1 radius),1.0,0.9,0.4177812008895272,0.8615384615384616,9
R (L1 radius),2.0,0.9,0.29679778005472013,0.8153846153846154,12
R (L1 radius),5.0,0.9611111111111111,0.14189265276714616,0.5384615384615384,30
R (L1 radius),10.0,0.9916666666666667,0.08004598966426948,0.4461538461538462,36
R (L1 radius),20.0,0.9055555555555556,0.18661595024947727,0.4307692307692308,37
beta (EMA),0.7,0.9888888888888889,0.21541525892666646,0.7384615384615385,17
beta (EMA),0.8,0.9777777777777777,0.2319109574396658,0.7384615384615385,17
beta (EMA),0.9,0.9861111111111112,0.24113325112409542,0.7538461538461538,16
beta (EMA),0.95,0.9666666666666667,0.2604021705928875,0.6461538461538462,23
beta (EMA),0.99,0.9027777777777778,0.2186564506323096,0.6923076923076923,20
alpha (scale),0.1,0.9638888888888889,0.23090602591498416,0.6923076923076923,20
alpha (scale),0.3,0.9527777777777777,0.2272524270402706,0.7538461538461538,16
alpha (scale),0.5,0.9833333333333333,0.20860952952404213,0.7384615384615385,17
alpha (scale),1.0,0.975,0.2359140805572887,0.7230769230769231,18
alpha (scale),2.0,0.9611111111111111,0.2040374319999724,0.7230769230769231,18
gamma_max,0.05,0.9888888888888889,0.21459130708457397,0.6153846153846154,25
gamma_max,0.1,0.9527777777777777,0.21406243931231386,0.7384615384615385,17
gamma_max,0.2,0.9361111111111111,0.28547273619082325,0.8,13
gamma_max,0.3,0.9611111111111111,0.2198369288245825,0.8307692307692308,11
gamma_max,0.5,0.9,0.37244702675227614,0.9076923076923077,6
